================================================================================
未归类药物清单
================================================================================

Health 组未归类药物（按使用频率排序）:
================================================================================

   1. 	                                                  (使用 1,760,637 次)
 336. 罗浩	                                                (使用 1,588 次)
 337. 注射用盐酸乌拉地尔	                                         (使用 1,588 次)
 338. 昂丹司琼	                                              (使用 1,579 次)
 339. 莫西沙星(言宁)	                                          (使用 1,578 次)
 340. 肯特令	                                               (使用 1,570 次)
 341. 蒙脱石散	                                              (使用 1,570 次)
 342. 坦洛新	                                               (使用 1,549 次)
 343. 盐酸右美托咪定注射液(辰欣)	                                    (使用 1,548 次)
 344. 连花清瘟	                                              (使用 1,546 次)
 345. 多种微量元素注射液(ⅱ)	                                      (使用 1,521 次)
 346. 安达美	                                               (使用 1,521 次)
 347. 利可君片	                                              (使用 1,520 次)
 348. 利可君片(吉贝尔)	                                         (使用 1,520 次)
 349. 亚宝力舒	                                              (使用 1,519 次)
 350. 硫辛酸注射液	                                            (使用 1,519 次)
 351. 生理氯化钠(3升袋)	                                        (使用 1,513 次)
 352. 氯化钠(济民)	                                           (使用 1,513 次)
 353. 优甲乐	                                               (使用 1,505 次)
 354. 左甲状腺素钠片	                                           (使用 1,505 次)
 355. 乐凡命	                                               (使用 1,498 次)
 356. 复方氨基酸注射液(18aa-ⅱ)	                                  (使用 1,498 次)
 357. 盐酸小檗碱片	                                            (使用 1,491 次)
 358. 单硝酸异山梨酯缓释片(齐鲁)	                                    (使用 1,489 次)
 359. 单硝酸异山梨酯缓释片	                                        (使用 1,489 次)
 360. 酒石酸布托啡诺注射液	                                        (使用 1,485 次)
 361. 诺扬	                                                (使用 1,485 次)
 362. 阿斯美	                                               (使用 1,483 次)
 363. 艾普拉唑钠(壹丽安)	                                        (使用 1,480 次)
 364. 甲磺酸多沙唑嗪缓释片	                                        (使用 1,476 次)
 365. 可多华	                                               (使用 1,476 次)
 366. 地西泮片(信谊,上药)	                                       (使用 1,465 次)
 367. 地西泮片	                                              (使用 1,465 次)
 368. 灭菌注射用水(瑞新)	                                        (使用 1,449 次)
 369. 瑞马唑仑(锐马)	                                          (使用 1,440 次)
 370. 胞磷胆碱钠注射液	                                          (使用 1,430 次)
 371. 胞磷胆碱钠注射液(辰欣)	                                      (使用 1,430 次)
 372. 注射用头孢曲松钠(立健)	                                      (使用 1,427 次)
 373. 复合磷酸氢钾(复合磷酸氢钾(成都利尔))	                              (使用 1,426 次)
 374. 基立福	                                               (使用 1,421 次)
 375. 吲哚美辛栓(东信)	                                         (使用 1,412 次)
 376. 齐征	                                                (使用 1,407 次)
 377. 低分子肝素钠注射液	                                         (使用 1,407 次)
 378. 葡萄糖酸钙注射液	                                          (使用 1,404 次)
 379. 舒更葡糖钠注射液	                                          (使用 1,402 次)
 380. 布瑞亭	                                               (使用 1,402 次)
 381. 盐酸西替利嗪片	                                           (使用 1,391 次)
 382. 散利痛	                                               (使用 1,390 次)
 383. 复方对乙酰氨基酚片(ⅱ)	                                      (使用 1,390 次)
 384. 益适纯	                                               (使用 1,387 次)
 385. 依折麦布片	                                             (使用 1,387 次)
 386. 沙丁胺醇(普立畅)	                                         (使用 1,383 次)
 387. 塞来昔布	                                              (使用 1,374 次)
 388. 耐信	                                                (使用 1,361 次)
 389. 艾司奥美拉唑镁肠溶片	                                        (使用 1,361 次)
 390. 氟比洛芬酯注射液	                                          (使用 1,348 次)
 391. 氟比洛芬酯注射液(大安)	                                      (使用 1,348 次)
 392. 双歧杆菌三联活菌	                                          (使用 1,346 次)
 393. 波立维	                                               (使用 1,341 次)
 394. 诺和平	                                               (使用 1,331 次)
 395. 希瓦丁	                                               (使用 1,329 次)
 396. 盐酸罂粟碱注射液	                                          (使用 1,324 次)
 397. 盐酸肾上腺素注射液(禾丰)	                                     (使用 1,317 次)
 398. 盐酸肾上腺素注射液	                                         (使用 1,317 次)
 399. 阿利沙坦酯(信立坦)	                                        (使用 1,316 次)
 400. 盐酸多巴胺注射液	                                          (使用 1,313 次)
 401. 盐酸多巴胺注射液(禾丰)	                                      (使用 1,313 次)
 402. 肠内营养(TPF-T)(瑞能)	                                   (使用 1,312 次)
 403. 吲哚布芬片	                                             (使用 1,311 次)
 404. 乙酰半胱氨酸片	                                           (使用 1,311 次)
 405. 辛贝	                                                (使用 1,311 次)
 406. 复方乳酸依沙吖啶(复方利凡诺)	                                   (使用 1,302 次)
 407. 度洛西汀	                                              (使用 1,287 次)
 408. 羟乙基淀粉130/0.4	                                      (使用 1,283 次)
 409. 溴己新	                                               (使用 1,280 次)
 410. 氟马西尼	                                              (使用 1,264 次)
 411. 氯沙坦钾	                                              (使用 1,254 次)
 412. 钠石灰(鹏程,钙化厂)	                                       (使用 1,252 次)
 413. 厄贝沙坦	                                              (使用 1,250 次)
 414. 爱可松	                                               (使用 1,243 次)
 415. 莫沙必利	                                              (使用 1,226 次)
 416. 呋塞米片(亚邦,爱普森)	                                      (使用 1,221 次)
 417. 桉柠蒎	                                               (使用 1,219 次)
 418. 倍他司汀	                                              (使用 1,202 次)
 419. 碳酸氢钠片	                                             (使用 1,201 次)
 420. 碳酸氢钠片(力生)	                                         (使用 1,201 次)
 421. 甲泼尼龙片	                                             (使用 1,199 次)
 422. 注射用美罗培南	                                           (使用 1,192 次)
 423. 力文	                                                (使用 1,190 次)
 424. 结构脂肪乳注射液(c6~24)	                                   (使用 1,190 次)
 425. 阿利西尤单抗(波立达)	                                       (使用 1,186 次)
 426. 地奥司明	                                              (使用 1,180 次)
 427. 注射用帕瑞昔布钠(齐鲁)	                                      (使用 1,177 次)
 428. 替米沙坦片	                                             (使用 1,159 次)
 429. 右美托咪定	                                             (使用 1,158 次)
 430. 舒尼亚	                                               (使用 1,151 次)
 431. 钆特酸葡胺注射液	                                          (使用 1,151 次)
 432. 钆特酸葡胺注射液(恒瑞)	                                      (使用 1,149 次)
 433. 瑞巴派特	                                              (使用 1,141 次)
 434. 头孢克洛	                                              (使用 1,138 次)
 435. 葡萄糖注射液(大冢)	                                        (使用 1,134 次)
 436. 血凝酶	                                               (使用 1,133 次)
 437. 注射用头孢唑肟钠(罗欣)	                                      (使用 1,131 次)
 438. 注射用头孢唑肟钠	                                          (使用 1,131 次)
 439. 托拉塞米	                                              (使用 1,127 次)
 440. 替普瑞酮	                                              (使用 1,121 次)
 441. 沙丁胺醇	                                              (使用 1,116 次)
 442. 泼尼松	                                               (使用 1,114 次)
 443. 盐酸坦洛新缓释胶囊(恒瑞)	                                     (使用 1,113 次)
 444. 倍林达	                                               (使用 1,111 次)
 445. 玻璃酸钠注射液	                                           (使用 1,106 次)
 446. 缬沙坦氨氯地平	                                           (使用 1,102 次)
 447. 甲氧氯普胺	                                             (使用 1,102 次)
 448. 厄贝沙坦氢氯噻嗪	                                          (使用 1,102 次)
 449. 乙哌立松	                                              (使用 1,099 次)
 450. 头孢克洛(中化)	                                          (使用 1,087 次)
 451. 铝碳酸镁	                                              (使用 1,084 次)
 452. 特治星	                                               (使用 1,082 次)
 453. 注射用盐酸瑞芬太尼(廊坊,国药)	                                  (使用 1,081 次)
 454. 金奥康	                                               (使用 1,077 次)
 455. 静注人免疫球蛋白(ph4)	                                     (使用 1,075 次)
 456. 多糖铁复合物	                                            (使用 1,071 次)
 457. 凯伦	                                                (使用 1,069 次)
 458. 尤瑞克林(凯力康)	                                         (使用 1,068 次)
 459. 格列美脲	                                              (使用 1,067 次)
 460. 多巴丝肼片	                                             (使用 1,065 次)
 461. 美多芭	                                               (使用 1,065 次)
 462. 复合磷酸氢钾(复合磷酸氢钾)	                                    (使用 1,062 次)
 463. 多索茶碱葡萄糖注射液(扬子江,海陵)	                                (使用 1,056 次)
 464. 多索茶碱葡萄糖注射液	                                        (使用 1,056 次)
 465. 盐酸氨溴索注射液(科伦)	                                      (使用 1,048 次)
 466. 缬沙坦	                                               (使用 1,045 次)
 467. 比索洛尔	                                              (使用 1,045 次)
 468. 劳拉西泮片	                                             (使用 1,044 次)
 469. 阿法迪三	                                              (使用 1,042 次)
 470. 阿法骨化醇软胶囊	                                          (使用 1,042 次)
 471. 得宝松	                                               (使用 1,038 次)
 472. 复方倍他米松注射液	                                         (使用 1,038 次)
 473. 苏灵	                                                (使用 1,037 次)
 474. 注射用尖吻蝮蛇血凝酶	                                        (使用 1,037 次)
 475. 帕帕非林	                                              (使用 1,037 次)
 476. 盐酸曲马多缓释片	                                          (使用 1,028 次)
 477. 非诺贝特胶囊	                                            (使用 1,024 次)
 478. 力平之	                                               (使用 1,024 次)
 479. 甘露醇	                                               (使用 1,017 次)
 480. 地西泮	                                               (使用 1,004 次)
 481. 呋塞米注射液(新华)	                                        (使用 996 次)
